0,,,,,,

1,,,,,,

2,生命保険,日本生命保険相互会社,71871名  ⇒内務職員 19515名（2018年3月末）,大阪府大阪市中央区今橋3-5-12,【採用データ画面】『採用問い合わせ先1・2』をご覧ください。,https://www.nissay-saiyo.com/

3,鉄道,東日本旅客鉄道(株)【JR東日本】,5万4880名（2018年4月1日現在）,東京都渋谷区代々木二丁目2番2号,〒151-8578東京都渋谷区代々木二丁目2番2号人事部採用事務局TEL:03-5334-1329（平日の10:00～17:00）,http://www.jreast.co.jp/recruit/student/

4,総合電機,(株)日立製作所,3万4925名（2018年3月末日現在）,東京都千代田区丸の内1-6-6,〒100-8280　東京都千代田区丸の内1-6-6日立製作所　採用グループ　リクルーティング事務局TEL:03-6361-9070,http://www.hitachi.co.jp/recruit/newgraduate/

5,生命保険,住友生命保険相互会社,42848名(2018年3月),東京都中央区築地7-18-24,〒104-8430　東京都中央区築地7-18-24リクルート推進室TEL:03-6381-4016（直）〒540-8512大阪市中央区城見1-4-35大阪人事室TEL:06-6937-1000（直）,http://www.sumitomolife.co.jp/about/employ/saiyou/

7,生命保険,第一生命保険(株),56161名【内勤職11437名、営業職44724名】（2018年9月末現在）,,〒100-8411東京都千代田区有楽町1-13-1第一生命　基幹職採用事務局,http://www.dai-ichi-saiyo.jp

8,自動車・自動車部品,トヨタ自動車(株),単体：74890人（2018年3月末現在）,愛知県豊田市トヨタ町1,本社／愛知県豊田市トヨタ町1番地 〒471-8571 人材開発部　採用・計画室　 アドレス：cg50-n8s@mmx.toyota.co.jp ※お問い合わせはE-mailで受け付けています。,採用HP:　http://toyota-saiyo.com/企業HP:　http://www.toyota.co.jp/

9,鉄鋼,日本製鉄(株)【旧社名　新日鐵住金(株)】 ,93557名（連結）（2018年3月現在）25101名（単体）（2018年3月現在）,東京都千代田区丸の内2-6-1,〒100-8071　東京都千代田区丸の内2-6-1TEL:03-6867-2242人事労政部　人材開発室,https://www.nipponsteel.com/recruit/hq/

10,鉄道,西日本旅客鉄道(株)（JR西日本）,2万8383名（2018年4月1日現在),大阪府大阪市北区芝田二丁目4番24号,〒530-8341大阪府大阪市北区芝田2丁目4番24号,http://www.westjr.co.jp/company/recruit/fresh/

11,自動車・自動車部品,日産自動車(株),2万2209名（単独ベース）13万7250名（連結ベース）2017年3月末現在,神奈川県横浜市西区高島1丁目1番1号,〒220-8686神奈川県横浜市西区高島1丁目1番1号 人事本部　日本タレントマネジメント部,http://www.nissanmotor.jobs/japan/NE/

12,半導体・電子・電気機器,富士通(株),,東京都港区東新橋1-5-2　汐留シティセンター,富士通　採用サポートデスク※お問い合わせはEメールにてお願いいたします。,http://www.fujitsu.com/jp/about/corporate/employment/newgraduate/index.html

13,総合電機,三菱電機(株),142340名／連結（2018年3月現在）,東京都千代田区丸の内2-7-3,〒100-8310東京都千代田区丸の内2-7-3本社人事部採用グループ　TEL:03-3218-2386,http://www.MitsubishiElectric.co.jp/saiyo/graduates

14,,,,,,

15,陸運（貨物・バス・タクシー）,日本通運(株),31871名（2018年3月）,東京都港区東新橋1-9-3,〒105-8322　東京都港区東新橋1-9-3総務・労働部　人事担当TEL：03-6251-1472,http://www.nittsu.co.jp/jinji/senko

17,生命保険,朝日生命保険相互会社,15935名（2018年3月末）,東京都千代田区大手町2-6-1 朝日生命大手町ビル,〒168-8506東京都杉並区和泉1-22-19人事部　＜採用ダイヤル　TEL:03-4574-5005＞,朝日生命新卒採用ホームページhttp://www.asahi-life.co.jp/saiyou/index.html朝日生命ホームページhttp://www.asahi-life.co.jp/

18,総合電機,パナソニック(株),274143名(2018年3月31日現在),大阪府門真市門真1006,大阪／〒571-8501大阪府門真市門真1006パナソニック(株)　採用部電話（06）6909-2150（直）東京／〒100-6025東京都千代田区霞が関3丁目2番5号 パナソニック(株)　採用部,http://www.panasonic.com/jp/corporate/jobs/new_gra.html

19,,,,,,

20,総合電機,日本電気(株)（NEC）,単独 21010名連結 109390名（2018年3月末時点）,東京都港区芝5丁目7-1,〒211-8601　神奈川県川崎市中原区下沼部1753　NEC玉川事業場NEC　人事部　採用グループTEL:050-3757-6197,NEC新卒採用ホームページはこちらhttp://nec-recruiting.com

